id,budget,popularity,runtime,revenue,month,day,year
74,0,0.919556,90.0,17393,3,30,2004
75,445000,2.482536,84.0,2300000,3,31,1976
76,17000000,9.665251,106.0,24922237,8,18,2011
77,500000,0.660663,157.0,500000,5,5,2000
78,6000000,10.451986,98.0,39846344,7,25,1980
79,0,2.633399,122.0,35610100,12,18,1981
80,1500000,6.636625,102.0,779820,9,15,2016
81,15000000,4.98408,118.0,9237470,12,14,2002
82,10284523,4.349046,104.0,11588205,10,21,2005
83,43000000,10.947957,104.0,91974818,7,29,2005
84,28000000,7.482865,116.0,40400657,12,6,1984
85,2000000,10.239941,85.0,13101672,1,21,2011
86,50000000,7.260574,109.0,152022101,6,9,1995
87,8000000,9.741644,105.0,106260000,12,18,1979
88,7500000,12.314278,91.0,32392047,1,30,1995
89,20000000,13.655178,126.0,13162475,3,31,2017
90,0,4.359884,109.0,140081992,2,5,1993
91,30000000,25.261865,111.0,180949000,10,10,2003
92,0,3.83196,106.0,215339,3,16,2001
93,35000000,1.690768,135.0,15000000,9,20,1995
94,0,14.322814,96.0,2724474,5,15,2008
95,15000000,18.184056,147.0,20117339,5,16,2001
96,0,0.181963,72.0,14353,12,9,2012
97,2500000,2.942355,98.0,3358,11,14,2011
98,0,1.042112,158.0,73000,6,26,2011
99,10500000,11.003515,90.0,23000000,8,31,2012
100,6000000,5.529808,120.0,46616067,4,15,1988
101,7000000,7.958502,91.0,9229401,1,26,1990
102,60000000,11.93646,135.0,313542341,12,11,2001
103,0,1.066558,102.0,14961069,8,18,2007
104,0,2.401289,121.0,5310554,9,28,2012
105,0,1.590383,117.0,149521495,2,20,2014
106,10900000,13.454169,105.0,16505460,9,8,2013
107,31000000,6.523155,105.0,15134293,1,21,2010
108,72000000,20.755149,177.0,210000000,5,24,1995
109,14000000,3.873796,97.0,18535191,4,15,1999
110,15000000,3.210693,189.0,34562222,10,10,1966
111,75000000,13.136791,123.0,67631903,10,12,2001
112,35000000,5.093704,111.0,22034832,8,6,2004
113,100000000,11.696923,122.0,93820758,11,20,2015
114,20000000,4.619593,106.0,51684798,3,25,1988
115,93000000,32.070725,178.0,871368364,12,18,2001
116,25000000,5.00725,86.0,41604473,5,31,2002
117,0,1.678013,145.0,311,11,1,2012
118,0,11.356011,100.0,253625427,3,2,2007
119,0,4.304224,107.0,1796389,6,18,1993
120,12716953,6.183021,113.0,18814720,1,31,1997
121,90000000,8.345985,90.0,347325802,8,3,2001
122,150000000,12.453452,88.0,448000000,6,18,1999
123,1500000,1.961208,94.0,5585154,2,9,1990
124,25000000,8.369176,115.0,91036760,3,20,2000
125,7500000,16.376657,95.0,60722734,7,17,2009
126,40000000,14.622493,125.0,7400000,7,3,2008
127,0,5.695908,105.0,15500000,6,2,1978
128,10000000,7.886926,111.0,12008642,12,22,2000
129,18000000,9.929809,100.0,46201432,10,14,2005
130,2400000,5.230661,120.0,5731103,10,16,1996
131,4000000,10.130541,90.0,9800000,7,24,2013
132,6000000,8.278079,93.0,5206,1,1,2011
133,0,1.079975,97.0,2452566,9,2,2000
134,65000000,11.73956,95.0,211780824,11,4,2010
135,10000000,11.840495,100.0,33000000,9,6,2007
136,2000000,1.372493,90.0,300000,6,29,2006
137,0,2.490032,92.0,120680,5,25,2012
138,9000000,8.888278,79.0,4350774,4,29,1994
139,0,10.245682,93.0,3065860,2,5,2010
140,110000000,0.913096,133.0,407711549,4,24,2003
141,14320000,0.585397,176.0,14000000,7,18,1968
142,0,7.008512,101.0,31466789,8,31,2003
143,3500000,5.353826,108.0,615816,1,22,2016
144,18000000,6.675032,98.0,382174,11,5,2008
145,4000000,6.216637,108.0,11000000,10,26,1967
146,0,3.805811,88.0,9188,12,9,2016
147,0,10.278957,90.0,19510371,3,17,1988
148,39200000,14.131906,126.0,86758912,8,1,2013
149,0,9.322717,87.0,147214049,4,3,1992
150,25000000,5.405958,113.0,432274,3,28,2012
151,0,1.178642,108.0,18,12,12,1980
152,0,1.279443,100.0,16905,1,25,2016
153,0,3.520171,92.0,241,1,1,1988
154,4000000,10.200398,91.0,52425855,1,23,2015
155,0,2.620456,90.0,5091888,1,4,1983
156,20000000,8.759774,72.0,109862682,2,14,2002
157,3500000,0.768181,126.0,8262833,3,5,2005
158,0,0.56257,94.0,447784,1,7,1994
159,63600000,6.047757,102.0,19412993,10,6,2000
160,32000000,7.54701,107.0,18552460,2,9,1995
161,3500000,4.456904,98.0,113783,2,7,2006
162,0,1.319188,88.0,12277096,4,22,1988
163,125000,10.850569,90.0,3200000,9,11,2011
164,9000000,5.997054,93.0,17096053,9,17,1998
165,40000000,9.825841,99.0,62771059,4,5,2007
166,0,0.836108,90.0,25000,1,1,1989
167,0,8.802715,87.0,1723872,6,6,1982
168,19000000,10.966015,122.0,144216468,9,9,2005
169,5000000,6.501177,113.0,41833347,5,21,1975
170,2000000,11.189831,95.0,24600832,12,24,1981
171,0,9.021668,87.0,55600000,3,28,1985
172,0,5.524866,102.0,2585639,10,11,1987
173,3500000,8.55931,121.0,12000000,2,23,1966
174,11000000,8.929393,98.0,2807854,8,2,1991
175,12468389,6.116093,97.0,29007412,10,14,2011
176,38000000,1.406181,106.0,207283925,6,22,2001
177,90000000,5.496624,91.0,14828081,1,14,2000
178,0,0.060645,74.0,532654,3,7,1997
179,15000000,14.778884,93.0,125212904,10,22,1982
180,32000000,11.137888,133.0,156167015,7,7,1989
181,30000000,5.844016,130.0,31148328,9,9,2008
182,0,5.725912,119.0,20957001,10,24,2002
183,0,10.313689,104.0,21830957,5,24,1991
184,6000000,9.534232,141.0,17555141,9,9,2010
185,82500000,9.796552,107.0,237681299,6,22,2006
186,14000000,1.36737,93.0,161001698,2,20,1997
187,5000000,3.172765,95.0,3833507,10,6,2006
188,259000,0.722511,65.0,921000,11,24,1928
189,180000000,16.088366,98.0,521311860,6,22,2008
190,0,12.017861,111.0,16337881,3,14,2014
191,4000000,5.263187,86.0,16675000,3,8,1996
192,40000000,7.271503,110.0,79700000,5,17,2012
193,0,6.395748,91.0,37915971,7,1,2016
194,0,13.762328,90.0,13168027,9,7,1983
195,4500000,3.311392,97.0,744816,10,10,2009
196,0,1.165679,96.0,115605,10,1,2008
197,7000000,0.861473,87.0,136203,12,2,1988
198,60000000,12.915358,108.0,77920346,4,19,2006
199,24000000,3.69298,107.0,12372410,4,7,2000
200,12600000,11.695036,106.0,19054534,9,12,2014
201,85000000,10.254314,97.0,144000000,12,15,2006
202,10000000,11.509677,100.0,3916303,9,8,1988
203,55000000,7.713231,91.0,110000000,10,30,2013
204,75000000,14.302911,87.0,527068851,7,25,2007
205,3200000,6.174699,94.0,10000000,11,15,1985
206,2000000,5.396271,97.0,2801508,9,17,2015
207,0,3.14325,105.0,1543112,5,8,1992
208,15000000,7.024227,92.0,66000000,6,30,1995
209,0,8.096719,96.0,4352094,4,22,1994
210,100000000,8.140709,136.0,108103450,3,5,2004
211,22000000,7.145784,105.0,26570463,12,25,1997
212,7000000,19.726114,124.0,470654000,6,18,1975
213,0,2.011108,95.0,3418141,8,27,1993
214,6700000,1.312833,143.0,31000000,6,1,2012
215,20000000,13.132127,105.0,1969193,9,1,2012
216,35000000,7.321172,111.0,173965010,2,7,2013
217,35000000,6.493765,90.0,83061158,8,8,2014
218,10000000,11.341505,106.0,85300000,6,25,1981
219,0,2.972928,107.0,5010362,8,22,1980
220,2600000,2.203949,105.0,3166000,7,9,2004
221,12000000,7.216103,132.0,10652498,4,22,2009
222,0,8.358541,97.0,754935,11,13,1992
223,5000000,1.608163,98.0,31649,6,4,2010
224,49000000,16.628427,127.0,352927224,3,20,1992
225,0,0.410738,53.0,500,5,1,2016
226,0,11.478361,110.0,6585516,3,22,2003
227,50000000,7.668829,105.0,28931401,2,24,2011
228,7500000,8.593196,100.0,26096852,10,29,2009
229,6244087,11.722424,145.0,638641,6,17,1969
230,14000000,1.596058,139.0,2474000,3,31,1995
231,110000000,7.825072,120.0,72178895,6,16,2004
232,800000,0.941994,114.0,1001437,10,8,1993
233,0,3.74133,93.0,2225098,10,4,2013
234,0,0.492745,101.0,206728,2,4,2009
235,30000000,21.791111,140.0,8574339,10,15,2016
236,0,6.183051,94.0,27297451,2,9,2007
237,15000000,3.450402,87.0,5600000,8,16,1996
238,0,0.619347,95.0,1622164,9,14,1978
239,22000000,11.945397,127.0,505000000,7,12,1990
240,20000000,5.270187,118.0,57588485,12,13,2002
241,0,2.592927,102.0,5790448,10,8,1997
242,70000000,6.660309,88.0,18662027,6,13,2013
243,0,12.653798,114.0,80768,8,1,2009
244,0,8.416802,103.0,17519169,11,2,1995
245,0,2.738421,96.0,43885000,4,26,1979
246,19000000,9.106146,109.0,18755936,10,16,2008
247,23000000,14.13488,101.0,351583407,7,29,1994
248,18339750,7.69224,156.0,92180910,9,8,2004
249,102000000,9.646208,99.0,147080413,6,7,2001
250,7920000,11.162277,140.0,14560084,10,6,1978
251,12560000,4.052991,105.0,42700000,2,7,2001
252,98000000,7.284477,119.0,10017322,12,22,1995
253,8500000,6.57613,104.0,5001655,2,27,2004
254,0,0.241287,95.0,30292,11,29,2012
255,11178,0.079287,104.0,34659,9,5,2012
256,9500000,5.847166,88.0,7800000,9,6,2013
257,55000000,10.758754,121.0,203427584,9,10,2015
258,1000000,1.157582,89.0,9000000,11,15,1956
259,0,10.686166,83.0,2287714,11,18,1995
260,24554,0.154526,95.0,140021,9,12,1998
261,0,0.871303,99.0,187349,9,2,1988
262,50000000,11.511424,99.0,87528173,4,28,2006
263,0,6.972723,133.0,17636261,12,11,2010
264,10000000,2.849779,99.0,14000,11,12,1987
265,0,2.799447,108.0,143597,5,14,2004
266,15000000,10.271871,135.0,13060843,12,16,2002
267,15000000,15.423538,148.0,56255142,9,11,2007
268,27000,10.513367,92.0,3151130,9,13,1994
269,40000000,8.778999,93.0,23937870,7,21,2006
270,0,0.498877,119.0,20,9,7,2007
271,21000000,8.425361,99.0,72417394,3,25,2011
272,72500000,6.936688,116.0,162966177,8,4,2006
273,12000000,5.845712,94.0,46044400,10,5,1990
274,50000000,12.285545,87.0,83761844,6,4,2010
275,65000000,10.237996,119.0,250821495,12,17,1998
276,0,8.469808,127.0,602042,5,24,2013
277,2915739,0.558002,132.0,14000000,1,16,2009
278,70000000,18.324219,98.0,164000000,6,12,1998
279,0,2.523707,102.0,23020,9,23,2016
280,65000000,13.455112,120.0,217764291,8,4,2004
281,0,2.584025,91.0,10,10,22,1999
282,30000000,14.811958,95.0,66486080,4,12,2012
283,12000000,1.575026,100.0,12902790,10,30,1998
284,19000000,4.249948,130.0,23550000,1,19,2008
285,7000000,7.45279,109.0,48126384,9,20,2012
286,25000000,3.596317,95.0,1614266,3,1,1996
287,9000000,28.920839,117.0,276921998,11,15,2016
288,0,4.322726,113.0,6841570,10,14,1994
289,24000000,11.269558,110.0,23510601,1,31,2003
290,28000000,13.856199,87.0,11373501,3,30,1994
291,6000000,8.990345,117.0,254700832,3,9,1994
292,16000000,12.153493,99.0,5367030,3,9,2007
293,65000000,10.543955,137.0,163442937,12,25,2014
294,0,1.791965,110.0,310724,5,1,1997
295,160000000,26.628178,137.0,653428261,11,18,2015
296,0,1.763116,99.0,5873871,4,23,2009
297,60000000,4.924078,104.0,52322400,2,22,2002
298,25000000,8.364587,101.0,56489558,2,28,2003
299,3000000,1.739182,89.0,9563393,2,22,1991
300,9000000,1.80809,94.0,26055,11,21,1991
301,11000000,15.750026,96.0,48572000,1,19,1990
302,225000,1.533379,87.0,2850000,10,6,1933
303,0,2.36594,105.0,2945242,9,13,2005
304,0,5.385108,107.0,22886222,6,4,1993
305,0,7.362552,101.0,6193901,1,22,1988
306,100000000,14.922399,167.0,193772504,12,14,2002
307,100000000,12.36223,101.0,100086793,10,16,2009
308,108000000,19.94393,129.0,22678555,12,25,2016
309,30000000,4.902869,104.0,21800302,6,15,2004
310,26000000,7.867999,97.0,110230332,8,3,2003
311,15000000,10.445867,96.0,8459458,3,25,2009
312,9500000,8.59498,168.0,12250,5,18,2012
313,16000000,1.758079,97.0,12,9,3,2004
314,0,5.339888,89.0,6297,2,10,2001
315,175000000,19.148182,109.0,350170057,6,15,2017
316,55000000,11.672394,141.0,113020255,1,30,2008
317,60000000,10.271517,88.0,118338361,3,12,2012
318,115000000,15.232738,109.0,286140700,8,7,2013
319,20000000,9.570657,126.0,27793200,6,17,2006
320,12000000,10.312017,113.0,68706993,2,8,1985
321,0,1.506457,96.0,750000,9,6,1986
322,85000000,14.170183,106.0,183018522,3,15,2012
323,135000000,23.501228,156.0,532950503,12,25,2015
324,90000000,9.112008,100.0,161626121,2,5,1999
325,12000000,7.569698,83.0,5669831,8,7,1987
326,71000000,9.439079,85.0,294456605,6,22,1998
327,26000000,10.177303,102.0,116400000,9,20,1996
328,40000000,8.062578,108.0,60965854,7,27,2011
329,15000000,4.582024,117.0,20529194,12,22,2010
330,100000000,15.088318,108.0,384335608,11,16,2006
331,0,1.895489,100.0,5588800,3,25,1982
332,23000000,10.861339,139.0,5837674,12,18,2009
333,5000000,6.226054,97.0,346592,9,7,2007
334,0,2.870026,132.0,3225000,12,21,1949
335,1,0.43849,140.0,3,5,5,2003
336,25000000,9.453942,124.0,38307627,5,9,2014
337,75000000,17.852022,115.0,117698894,5,29,2013
338,0,0.215013,116.0,9833553,11,13,2010
339,30000000,9.783762,118.0,27610873,6,6,2005
340,11000000,2.27258,124.0,2200000,1,27,1970
341,0,11.576578,95.0,1289998,9,26,2014
342,27000000,12.235391,115.0,60527873,10,3,1997
343,0,0.767631,88.0,152810,4,29,2005
344,0,1.021685,93.0,88000,6,10,1982
345,60000000,11.234862,105.0,50549107,1,15,2014
346,0,3.611453,113.0,14681192,7,8,1988
347,36000000,14.575883,97.0,87416021,12,6,2016
348,12,1.410322,84.0,1,10,16,1996
349,1000000,11.267366,117.0,3301446,3,11,1984
350,350000,2.96237,85.0,3515061,12,8,2004
351,110000000,13.1984,107.0,121790373,9,29,2016
352,7200000,12.00491,120.0,116019547,12,13,1971
353,0,7.093984,96.0,9500000,9,28,1984
354,7000000,2.483032,93.0,10229331,11,16,2001
355,20500000,8.333526,102.0,10089373,12,5,2008
356,0,0.519968,99.0,393970,4,14,2017
357,130000000,8.946243,124.0,119269486,4,6,2005
358,45000000,21.605761,89.0,788241776,6,23,1994
359,75000000,7.970031,99.0,14567883,10,23,1998
360,65000000,12.738789,136.0,93525586,12,26,2009
361,0,1.43679,87.0,3162153,11,2,2016
362,2200000,1.132835,154.0,9700000,5,28,2010
363,3300000,4.445867,120.0,5249225,4,30,2015
364,15400000,8.400049,123.0,25762027,5,17,2012
365,90000000,11.3569,157.0,60289912,10,28,1999
366,7000,7.15307,77.0,424760,10,8,2004
367,12000000,7.88371,99.0,101332962,4,16,2014
368,0,8.150265,109.0,1644060,2,1,1999
369,0,6.068689,98.0,3351735,4,27,2016
370,3300000,5.840554,83.0,64110728,1,29,2015
371,0,1.369216,112.0,1192322,9,1,1988
372,13100000,1.417392,140.0,4100000,4,8,2011
373,40000000,11.185625,106.0,91753202,11,17,2001
374,4500000,6.583161,97.0,10609321,9,13,1985
375,500000,2.884359,97.0,17000000,8,24,1977
376,16000000,6.918821,112.0,17374595,5,22,1981
377,30000000,5.154373,79.0,100491683,11,20,1998
378,14000000,7.495853,115.0,5080409,9,21,1990
379,35000000,11.836827,76.0,19478106,3,25,2005
380,0,4.470369,97.0,830129,9,13,2015
381,100000000,12.477872,143.0,170877916,12,7,2006
382,74500000,5.300303,109.0,62172050,4,7,2004
383,8000000,5.137903,98.0,2000000,7,8,1993
384,0,8.543311,130.0,68929150,9,6,2012
385,55000000,10.571434,163.0,100230832,12,16,1999
386,25000000,10.19853,90.0,229736344,3,22,2007
387,0,0.118135,92.0,12000,7,30,2010
388,36000000,2.151436,189.0,1345903,12,6,1991
389,20000000,4.850968,85.0,2128186,11,4,2011
390,75000000,9.409379,106.0,195745823,4,11,2003
391,6843500,3.800073,0.0,10703234,12,22,2012
392,7075038,10.181,140.0,9868942,4,12,2017
393,0,2.404466,89.0,126463,8,17,2016
394,60000000,7.898202,89.0,129832389,11,15,1996
395,18000000,6.693055,95.0,72179579,6,19,1981
396,0,7.957389,87.0,900689,1,18,2008
397,0,11.110533,74.0,32230907,7,3,2013
398,0,2.628306,103.0,1919653,11,10,1989
399,40000000,15.228794,112.0,75505856,9,25,1992
400,13000000,5.305311,95.0,7820688,4,13,1994
401,30000000,9.378926,98.0,58405313,7,21,2005
402,3000000,0.904409,155.0,6000000,6,7,2002
403,0,3.402261,100.0,8251,10,11,2014
404,0,2.469772,93.0,1469,2,9,2013
405,0,3.842769,105.0,8143225,1,13,1989
406,17000000,7.417157,100.0,125586134,10,17,1997
407,30000000,11.781895,102.0,14110589,7,10,1992
408,19000000,7.923639,125.0,6682098,10,3,1997
409,10000000,15.109261,90.0,40485039,2,17,1989
410,0,9.665142,115.0,4104962,4,9,1993
411,18500000,21.761179,137.0,183316455,7,18,1986
412,87000000,7.851669,141.0,148336445,7,22,2003
413,28000000,7.598422,115.0,97594140,2,7,2013
414,800000,0.170979,83.0,966214,12,14,2006
415,65000000,7.446085,83.0,179379533,5,15,2012
416,60000000,14.039655,116.0,149705852,6,18,1999
417,0,8.175019,130.0,69932387,9,13,2008
418,0,11.258125,90.0,373530,8,8,1985
419,2000000,14.379879,100.0,4601043,8,20,2003
420,3750000,0.597058,155.0,5000000,2,26,2010
421,30000000,11.43256,94.0,151119219,5,11,2011
422,19000000,6.701138,91.0,40996665,5,23,1986
423,2900000,10.92143,90.0,296557,10,16,2009
424,26000000,7.254242,111.0,29657751,3,9,2012
425,9000000,1.139949,100.0,706000,11,16,2007
426,0,7.34241,115.0,641100,7,2,2012
427,6000000,5.414213,89.0,18197398,8,8,2007
428,0,0.82522,84.0,2012927,7,2,2009
429,810000,3.099222,106.0,1258000,1,1,1977
430,40000000,16.94556,130.0,109676311,10,19,2006
431,10000000,6.737797,116.0,3400278,3,30,2016
432,13000000,12.994939,113.0,96060858,1,22,2004
433,16000000,2.488424,113.0,109130,9,25,2000
434,57000000,9.958406,123.0,147845033,3,1,2001
435,13000000,6.862146,104.0,11130889,10,15,2006
436,0,7.74579,90.0,300859,7,10,1987
437,0,9.266214,95.0,70918,1,18,2014
438,40000000,8.739991,88.0,160583018,4,6,2003
439,7000000,6.924072,108.0,50888000,6,15,1988
440,762241,4.860265,140.0,285930,9,1,2016
441,110000000,12.904677,102.0,337580051,3,5,2014
442,0,10.200553,94.0,1986615,10,23,2015
443,0,2.117703,83.0,832735,10,3,1997
444,0,6.473842,103.0,4300000,2,15,1985
445,10300000,6.165491,120.0,47748,10,19,2016
446,0,1.693701,93.0,343786,10,21,1988
447,14000000,8.226,97.0,875386,10,1,2009
448,30000000,14.404764,89.0,254134910,7,18,1995
449,85000000,12.173291,124.0,315156409,7,25,1997
450,80000000,4.980191,110.0,5989640,5,15,2005
451,23000000,5.950792,111.0,12,1,9,2004
452,0,6.402939,102.0,1787926,1,22,2016
453,0,1.69425,116.0,1009620,9,26,2014
454,5000000,6.546551,93.0,12534961,9,11,1992
455,0,0.656215,101.0,3790493,9,23,1988
456,0,9.128571,84.0,4910682,8,16,2007
457,1288000,8.590813,130.0,6000000,4,12,1940
458,250000,0.003013,82.0,340147,9,11,1992
459,18000000,6.344961,94.0,88923251,3,23,2016
460,7000000,6.950458,104.0,25405445,8,25,1995
461,0,1.899468,124.0,203781,2,6,1986
462,22000000,9.627676,110.0,147880543,9,28,2007
463,90000000,14.374866,150.0,171120329,7,11,1997
464,0,8.09806,124.0,126297830,7,31,1989
465,3000000,2.428279,100.0,15369573,4,27,1990
466,0,10.638289,121.0,18782400,10,23,1987
467,17000000,11.673366,99.0,270000000,5,28,1982
468,16500000,6.463883,108.0,13620075,9,21,2007
469,16000000,12.260159,100.0,318982,4,3,2013
470,113,9.231318,113.0,115103979,6,18,1986
471,2000000,0.079856,120.0,1672730,9,12,2003
472,35000000,23.947351,100.0,459270619,6,5,2009
473,19000000,8.560694,99.0,174999005,2,8,1991
474,15000000,1.652275,99.0,23000,10,14,2001
475,25000000,4.037707,85.0,6500000,3,18,2010
476,0,0.368092,120.0,1612100,8,3,2012
477,18000000,2.471038,100.0,6375979,3,13,1992
478,3200000,5.510288,100.0,4267218,4,5,2016
479,20000000,6.679168,92.0,22165608,10,13,2006
480,0,8.450231,104.0,16589540,8,13,1993
481,0,0.182717,91.0,1300000,2,9,1954
482,10500000,1.970481,149.0,9400000,1,16,2009
483,48000000,4.556123,132.0,35743308,10,19,2001
484,13500000,3.531089,129.0,187674,9,18,2015
485,0,2.183504,85.0,3335984,8,6,1993
486,25000000,5.481452,122.0,15478800,9,10,2010
487,60000000,7.685548,170.0,186883563,5,14,1998
488,4500000,1.833185,65.0,3468423,3,16,2006
489,9000000,27.756026,104.0,108782847,7,17,2014
490,250000,1.924535,85.0,609524,4,5,1991
491,590235,8.888393,92.0,1725381,2,9,2009
492,35000000,5.80986,92.0,63215872,10,22,2007
493,12000000,8.435294,95.0,66351,11,8,2012
494,0,9.116245,110.0,37803872,6,20,1985
495,2000000,2.300459,97.0,7306,10,10,2009
496,25000000,10.323838,99.0,11838218,10,10,1997
497,2800000,12.560942,80.0,3600000,4,21,2017
498,15000000,18.451321,84.0,44065653,11,5,1992
499,0,0.91505,152.0,25,9,9,2006
500,80000000,11.760218,89.0,473226958,9,21,2015
501,0,7.872569,145.0,741766,9,10,1969
502,57000000,11.82081,123.0,52034889,10,6,2005
503,0,8.35399,104.0,316472,4,9,2015
504,25000000,4.558992,128.0,13071518,9,15,1995
505,0,10.460298,122.0,11750000,5,30,1957
506,10000000,5.3584,109.0,10759,11,2,2011
507,25000000,10.510245,104.0,6673422,10,17,2008
508,60000000,8.462364,131.0,102367405,3,6,1998
509,60000,10.621362,84.0,3221152,7,10,1998
510,6500000,9.312354,89.0,13865435,12,4,2014
511,910000,18.211093,108.0,9600000,6,22,1954
512,22000000,9.863789,100.0,194647323,1,19,2017
513,93,11.096527,107.0,2500000,1,28,2011
514,27000000,8.907074,99.0,101646581,9,15,1994
515,0,6.625607,96.0,53447,4,8,2016
516,12000000,5.875606,99.0,21133087,9,10,1999
517,2000000,0.570021,156.0,6000000,4,14,2000
518,15000000,11.85302,123.0,123726688,11,26,2014
519,149000000,294.337037,141.0,820580447,5,30,2017
520,32000000,8.074218,137.0,28258060,9,7,2012
521,30000000,8.142166,108.0,18195610,1,12,2001
522,0,1.380258,116.0,365522,4,24,2014
523,10000000,7.412826,105.0,28883511,12,24,2014
524,13000000,11.14704,220.0,122700000,10,5,1956
525,0,1.532894,181.0,8500000,6,17,2005
526,4000000,6.780752,99.0,25345000,4,9,2011
527,20000000,8.34835,109.0,17425000,7,1,2011
528,62000000,6.258666,87.0,41819064,6,20,2008
529,78146652,9.097953,125.0,60000000,3,19,2009
530,28000000,6.053567,103.0,38159905,5,12,2006
531,4100000,3.826281,135.0,36000000,9,16,1953
532,0,6.316596,117.0,226286,10,2,2016
533,18000000,6.41742,107.0,9697739,6,6,1986
534,40000000,9.034929,107.0,126248813,7,3,2010
535,4000000,4.661689,105.0,46474,9,20,2007
536,45000000,11.221186,160.0,9323833,9,15,2008
537,3000000,0.527297,113.0,19184015,8,1,2002
538,75000000,13.249824,136.0,335062621,6,6,1996
539,48000000,14.788987,127.0,474171806,5,24,1989
540,0,4.39817,87.0,621951,4,22,2011
541,150000000,11.30428,111.0,128388320,9,24,2015
542,6900000,6.8652,102.0,7993039,9,24,1993
543,65000000,11.023042,100.0,40002112,11,13,1998
544,79000000,29.423537,179.0,926287400,12,18,2002
545,8000000,0.537378,149.0,20000000,1,1,1969
546,5800000,0.906143,95.0,7000000,9,1,2006
547,30000000,11.066473,125.0,105834556,12,13,2002
548,3500000,5.732016,93.0,16324573,5,3,1990
549,9000000,10.182974,99.0,81705746,10,20,2016
550,0,0.769595,180.0,238073,9,15,2005
551,13000000,9.142772,81.0,97837138,9,9,2002
552,49000000,30.206365,120.0,104399548,3,4,2015
553,40000000,10.939066,98.0,141591324,11,21,2003
